OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE,Select
87,1,18,4,0,0,1,0,0,0,1295,0,1,4,0,0,0,0,0,1,0,0,27,0,0,1,2,2,1,0,0,1,1
88,1,36,2,0,0,0,0,1,0,12612,1,2,1,0,1,0,0,0,4,0,1,47,0,0,0,1,2,2,1,0,0,1
89,0,18,2,1,0,0,0,0,0,2249,1,3,4,0,1,0,0,0,3,0,0,30,0,0,1,1,3,2,1,0,1,1
90,0,12,0,0,0,0,0,0,0,1108,0,3,4,0,1,0,0,0,3,1,0,28,0,0,1,2,2,1,0,0,0,1
91,3,12,4,0,0,0,1,0,0,618,0,4,4,0,1,0,0,0,4,1,0,56,0,0,1,1,2,1,0,0,1,1
93,3,12,4,0,0,0,1,0,0,797,4,4,4,0,0,0,0,0,3,0,0,33,1,0,1,1,1,2,0,0,0,1
94,2,24,4,0,0,1,0,0,0,3617,4,4,4,0,1,0,1,0,4,0,1,20,0,1,0,2,2,1,0,0,1,1
95,1,12,2,1,0,0,0,0,0,1318,3,4,4,0,1,0,0,0,4,1,0,54,0,0,1,1,2,1,1,0,1,1
96,1,54,0,0,0,0,0,0,1,15945,0,1,3,0,1,0,0,0,4,0,1,58,0,1,0,1,2,1,1,0,0,1
99,1,36,4,0,0,0,1,0,0,2337,0,4,4,0,1,0,0,0,4,1,0,36,0,0,1,1,2,1,0,0,1,1
100,1,20,3,0,1,0,0,0,0,7057,4,3,3,0,1,0,0,0,4,0,0,36,1,1,0,2,3,2,1,0,1,1
101,3,24,2,1,0,0,0,0,0,1469,1,4,4,0,0,1,0,0,4,1,0,41,0,1,0,1,1,1,0,0,1,1
102,1,36,2,0,0,0,1,0,0,2323,0,3,4,0,1,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,1,1
104,1,9,4,0,0,1,0,0,0,1919,0,3,4,0,1,0,0,0,3,0,0,35,0,1,0,1,2,1,1,0,1,1
105,3,12,2,0,1,0,0,0,0,2445,4,1,2,0,0,1,0,0,4,0,0,26,0,1,0,1,2,1,1,0,1,1
106,1,24,4,0,0,0,0,0,0,11938,0,2,2,0,1,0,1,0,3,0,0,39,0,0,1,2,3,2,1,0,0,1
107,3,18,1,1,0,0,0,0,0,6458,0,4,2,0,1,0,0,0,4,0,1,39,1,0,1,2,3,2,1,0,0,1
108,1,12,2,1,0,0,0,0,0,6078,0,3,2,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,0,0,1,1
109,0,24,2,0,0,1,0,0,0,7721,4,1,1,0,0,0,0,0,2,0,0,30,0,0,1,1,2,1,1,1,1,1
110,1,14,2,0,0,0,0,0,1,1410,2,4,1,0,0,1,0,0,2,1,0,35,0,0,1,1,2,1,1,0,1,1
111,1,6,3,0,0,0,0,0,1,1449,1,4,1,1,0,0,0,0,2,0,0,31,1,0,1,2,2,2,0,0,1,1
112,2,15,2,0,0,0,0,1,0,392,0,1,4,0,0,0,0,0,4,0,0,23,0,1,0,1,2,1,1,0,1,1
114,3,36,4,1,0,0,0,0,0,7855,0,2,4,0,0,0,0,0,2,1,0,25,1,0,1,2,2,1,1,0,0,1
115,0,12,2,0,0,0,1,0,0,1680,2,4,3,0,0,1,0,0,1,1,0,35,0,0,1,1,2,1,0,0,1,1
116,3,48,4,0,0,0,1,0,0,3578,4,4,4,0,1,0,0,0,1,1,0,47,0,0,1,1,2,1,1,0,1,1
118,0,10,4,0,0,1,0,0,0,2132,4,1,2,0,0,0,1,0,3,1,0,27,0,1,0,2,2,1,0,1,1,1
120,1,12,4,1,0,0,0,0,0,2366,2,3,3,1,0,0,0,0,3,0,0,36,0,0,1,1,3,1,1,0,1,1
122,3,24,4,0,1,0,0,0,0,3868,0,4,4,0,0,0,0,0,2,0,0,41,0,1,0,2,3,1,1,0,1,1
123,3,12,2,0,0,1,0,0,0,1768,0,2,3,0,1,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,1,1
124,2,10,4,1,0,0,0,0,0,781,0,4,4,0,1,0,0,0,4,0,1,63,0,0,0,2,2,1,1,0,1,1
125,1,18,2,0,0,1,0,0,0,1924,4,1,4,0,0,0,0,0,3,1,0,27,0,1,0,1,2,1,0,0,0,1
126,0,12,4,1,0,0,0,0,0,2121,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,0,0,1,1
127,0,12,2,0,0,0,1,0,0,701,0,2,4,0,0,1,0,0,2,1,0,40,0,0,1,1,1,1,0,0,1,1
128,1,12,2,0,0,0,0,0,0,639,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,0,1
129,1,12,4,0,1,0,0,0,0,1860,0,0,4,0,1,0,0,0,2,0,0,34,0,0,1,2,3,1,1,0,1,1
130,0,12,4,1,0,0,0,0,0,3499,0,2,3,0,0,0,1,0,2,1,0,29,0,0,1,2,2,1,0,0,0,1
131,1,48,2,1,0,0,0,0,0,8487,4,3,1,0,0,0,0,0,2,0,0,24,0,0,1,1,2,1,0,0,1,1
132,0,36,3,0,0,0,0,1,0,6887,0,2,4,0,1,0,0,0,3,0,0,29,1,0,1,1,2,1,1,0,0,1
133,3,15,2,0,0,1,0,0,0,2708,0,1,2,0,1,0,0,0,3,0,0,27,1,0,1,2,1,1,0,0,1,1
135,3,60,2,0,0,0,1,0,0,10144,1,3,2,0,0,0,0,0,4,1,0,21,0,0,1,1,2,1,1,0,1,1
137,3,27,3,0,1,0,0,0,0,8613,3,2,2,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,1,1
138,1,12,2,0,0,0,1,0,0,766,2,2,4,0,1,0,0,0,3,1,0,66,0,0,1,1,1,1,0,0,0,1
139,1,15,4,0,0,0,1,0,0,2728,4,3,4,0,1,0,0,1,2,1,0,35,1,0,1,3,2,1,1,0,1,1
140,2,12,2,0,0,0,1,0,0,1881,0,2,2,0,0,0,0,0,2,0,0,44,0,1,0,1,1,1,1,0,1,1
141,2,6,2,1,0,0,0,0,0,709,3,1,2,0,0,1,0,0,2,1,0,27,0,0,1,1,0,1,0,1,1,1
142,1,36,2,0,0,0,1,0,0,4795,0,1,4,0,0,0,0,0,1,0,1,30,0,0,1,1,3,1,1,0,1,1
143,0,27,2,0,0,0,1,0,0,3416,0,2,3,0,1,0,0,0,2,0,0,27,0,0,1,1,3,1,0,0,1,1
144,0,18,2,0,0,1,0,0,0,2462,0,2,2,0,1,0,0,0,2,0,0,22,0,0,1,1,2,1,0,0,0,1
145,3,21,4,0,0,1,0,0,0,2288,0,1,4,0,0,0,0,0,4,0,0,23,0,0,1,1,2,1,1,0,1,1
146,1,48,1,0,0,0,0,0,1,3566,1,3,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,1,1
147,0,6,4,1,0,0,0,0,0,860,0,4,1,0,0,0,0,0,4,0,1,39,0,0,1,2,2,1,1,0,1,1
149,0,36,4,0,0,1,0,0,0,5371,0,2,3,0,1,0,0,1,2,0,0,28,0,0,1,2,2,1,0,0,1,1
150,3,18,4,0,0,0,1,0,0,1582,3,4,4,0,1,0,0,0,4,0,0,46,0,0,1,2,2,1,0,0,1,1
152,3,10,2,0,0,0,1,0,0,1924,0,2,1,0,1,0,0,0,4,0,0,38,0,0,1,1,2,1,1,1,1,1
153,2,36,2,0,0,0,1,0,0,5848,0,2,4,0,1,0,0,0,1,0,0,24,0,0,1,1,2,1,0,0,1,1
156,0,12,2,0,0,1,0,0,0,1282,0,2,2,0,0,0,0,0,4,0,0,20,0,1,0,1,2,1,0,0,0,1
158,0,12,1,0,0,0,0,0,0,339,0,4,4,0,0,1,0,0,1,0,0,45,1,0,1,1,1,1,0,0,1,1
159,1,24,2,1,0,0,0,0,0,3512,1,3,2,0,1,0,0,0,3,0,0,38,1,0,1,2,2,1,1,0,1,1
161,3,24,4,0,0,0,1,0,0,2872,1,4,3,0,1,0,0,0,4,1,0,36,0,0,1,1,2,2,1,0,1,1
162,3,18,4,1,0,0,0,0,0,1055,0,1,4,0,0,0,0,0,1,0,0,30,0,0,1,2,2,1,0,0,1,1
163,3,15,2,0,0,0,0,0,0,1262,2,3,4,0,1,0,0,0,3,0,0,36,0,0,1,2,2,1,1,0,1,1
164,1,10,2,1,0,0,0,0,0,7308,0,0,2,0,1,0,0,0,4,0,1,70,1,0,0,1,3,1,1,0,1,1
165,3,36,2,1,0,0,0,0,0,909,2,4,4,0,1,0,0,0,4,0,0,36,0,0,1,1,2,1,0,0,1,1
167,0,18,2,0,0,1,0,0,0,1131,0,0,4,0,0,0,0,0,2,0,0,33,0,0,1,1,2,1,0,0,0,1
169,3,24,2,0,0,1,0,0,0,3972,0,3,2,0,0,0,0,0,4,0,0,25,0,1,0,1,2,1,1,0,1,1
170,1,24,4,0,0,0,0,0,1,1935,0,4,4,1,0,0,0,0,4,1,0,31,0,0,1,2,2,1,1,0,0,1
171,0,15,0,1,0,0,0,0,0,950,0,4,4,0,1,0,0,0,3,0,0,33,0,1,0,2,2,2,0,0,0,1
172,3,12,2,0,0,1,0,0,0,763,0,2,4,0,0,0,0,0,1,1,0,26,0,0,1,1,2,1,1,0,1,1
174,1,8,2,0,0,0,1,0,0,1414,0,2,4,0,1,0,0,1,2,1,0,33,0,0,1,1,2,1,0,1,1,1
175,0,21,3,0,0,0,0,1,0,3414,0,1,2,0,1,0,0,0,1,0,0,26,0,0,1,2,2,1,0,0,0,1
176,3,30,1,0,1,0,0,0,0,7485,4,0,4,0,0,0,0,0,1,1,0,53,1,0,1,1,3,1,1,0,0,1
177,0,12,2,0,0,1,0,0,0,2577,0,2,2,1,0,0,0,0,1,0,0,42,0,0,1,1,2,1,0,0,1,1
178,0,6,4,0,0,0,1,0,0,338,2,4,4,0,1,0,0,0,4,0,0,52,0,0,1,2,2,1,0,0,1,1
179,3,12,2,0,0,0,1,0,0,1963,0,3,4,0,1,0,0,0,2,0,0,31,0,1,0,2,3,2,1,0,1,1
180,0,21,4,1,0,0,0,0,0,571,0,4,4,0,1,0,0,0,4,1,0,65,0,0,1,2,2,1,0,0,1,1
181,3,36,3,0,0,0,0,0,1,9572,0,1,1,1,0,0,0,0,1,0,0,28,0,0,1,2,2,1,0,0,0,1
182,1,36,3,0,0,0,0,0,1,4455,0,2,2,1,0,0,0,0,2,1,0,30,1,0,1,2,3,1,1,0,0,1
183,0,21,1,1,0,0,0,0,0,1647,4,2,4,0,1,0,0,0,2,0,0,40,0,0,1,2,1,2,0,0,0,1
184,3,24,4,0,0,1,0,0,0,3777,3,2,4,0,1,0,0,0,4,1,0,50,0,0,1,1,2,1,1,0,1,1
185,1,18,4,1,0,0,0,0,0,884,0,4,4,0,1,0,0,0,4,0,0,36,1,0,1,1,2,2,1,0,0,1
186,3,15,4,0,0,0,1,0,0,1360,0,2,4,0,1,0,0,0,2,0,0,31,0,0,1,2,2,1,0,0,1,1
187,1,9,1,0,1,0,0,0,0,5129,0,4,2,0,0,0,0,0,4,0,1,74,1,0,0,1,3,2,1,0,0,1
188,1,16,4,1,0,0,0,0,0,1175,0,0,2,0,1,0,0,0,3,0,0,68,0,0,0,3,0,1,1,0,1,1
190,1,18,0,0,0,1,0,0,0,3244,0,2,1,0,0,0,0,0,4,0,0,33,1,0,1,2,2,1,1,0,1,1
191,3,24,2,0,0,0,0,0,1,4591,3,2,2,0,1,0,0,0,3,0,0,54,0,0,1,3,3,1,1,0,0,1
193,1,27,2,0,0,0,0,0,1,3915,0,2,4,0,1,0,0,0,2,0,0,36,0,0,1,1,2,2,1,0,0,1
194,3,6,2,0,0,0,1,0,0,2108,0,3,2,0,0,1,0,0,2,1,0,29,0,1,0,1,2,1,0,0,1,1
196,1,9,4,0,0,0,0,1,0,1501,0,4,2,0,0,0,0,0,3,0,0,34,0,0,1,2,3,1,1,0,0,1
197,3,6,4,0,0,0,1,0,0,1382,0,2,1,0,0,0,0,0,1,0,0,28,0,0,1,2,2,1,1,0,1,1
198,1,12,2,0,0,1,0,0,0,951,1,1,4,0,0,0,0,0,4,0,0,27,1,1,0,4,2,1,0,0,0,1
199,1,24,2,0,1,0,0,0,0,2760,4,4,4,0,1,0,0,0,4,0,1,36,1,0,0,1,2,1,1,0,1,1
200,1,18,3,0,0,1,0,0,0,4297,0,4,4,1,0,0,0,0,3,0,1,40,0,0,1,1,3,1,1,0,0,1
201,3,9,4,0,0,0,0,1,0,936,2,4,4,0,1,0,0,0,2,0,0,52,0,0,1,2,2,1,1,0,1,1
202,0,12,2,1,0,0,0,0,0,1168,0,2,4,0,0,1,0,0,3,1,0,27,0,0,1,1,1,1,0,0,1,1
203,3,27,3,0,0,0,0,0,1,5117,0,3,3,0,1,0,0,0,4,0,0,26,0,0,1,2,2,1,0,0,1,1
204,0,12,2,0,0,0,0,0,0,902,0,3,4,0,0,1,0,0,4,0,0,21,0,1,0,1,2,1,0,0,0,1
205,3,12,4,1,0,0,0,0,0,1495,0,4,4,0,1,0,0,0,1,1,0,38,0,0,1,2,1,2,0,0,1,1
206,0,30,4,0,1,0,0,0,0,10623,0,4,3,0,1,0,0,0,4,0,1,38,0,0,0,3,3,2,1,0,1,1
208,1,12,4,0,0,0,0,0,0,1424,0,3,4,0,1,0,0,0,3,0,0,26,0,0,1,1,2,1,0,0,1,1
209,0,24,2,0,0,0,0,0,1,6568,0,2,2,0,0,1,0,0,2,0,0,21,1,0,1,1,1,1,0,0,1,1
211,3,9,4,0,0,0,1,0,0,3074,4,2,1,0,1,0,0,0,2,1,0,33,0,0,1,2,2,2,0,0,1,1
212,3,36,2,0,0,0,1,0,0,3835,4,4,2,0,0,0,0,0,4,1,0,45,0,0,1,1,1,1,1,0,1,1
214,2,30,3,0,0,0,0,0,1,1908,0,4,4,0,1,0,0,0,4,1,0,66,0,0,1,1,3,1,1,0,0,1
216,1,6,4,0,0,0,0,0,0,932,4,3,1,0,0,0,0,0,3,0,0,39,0,0,1,2,1,1,0,0,1,1
217,0,18,0,0,0,0,0,0,1,3104,0,3,3,0,1,0,0,0,1,0,0,31,1,0,1,1,2,1,1,0,1,1
219,0,24,2,0,0,1,0,0,0,3021,0,2,2,1,0,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,1,1
220,3,10,2,1,0,0,0,0,0,1364,0,2,2,0,0,0,0,0,4,0,0,64,0,0,1,1,2,1,1,0,1,1
221,1,12,2,0,0,0,1,0,0,625,0,1,4,0,0,1,0,1,1,1,0,26,1,0,1,1,1,1,0,0,1,1
222,0,12,2,0,0,0,0,1,0,1200,4,2,4,0,0,0,0,0,4,0,0,23,1,1,0,1,2,1,1,0,1,1
223,3,12,2,0,0,0,1,0,0,707,0,2,4,0,1,0,0,0,2,1,0,30,1,0,1,2,2,1,0,0,1,1
224,3,24,3,0,0,0,0,0,1,2978,4,2,4,0,1,0,0,0,4,1,0,32,0,0,1,2,2,2,1,0,1,1
225,3,15,2,0,1,0,0,0,0,4657,0,2,3,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,1,0,1,1
226,3,36,0,0,0,0,0,0,0,2613,0,2,4,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,1,1
227,1,48,2,0,0,0,1,0,0,10961,3,3,1,0,1,0,1,0,2,0,1,27,1,0,1,2,2,1,1,0,0,1
228,0,12,2,0,0,1,0,0,0,7865,0,4,4,0,1,0,0,0,4,0,1,53,0,0,0,1,3,1,1,0,0,1
230,0,24,2,0,0,1,0,0,0,3149,0,1,4,0,1,0,0,0,1,0,1,22,1,0,0,1,2,1,0,0,1,1
232,3,9,2,1,0,0,0,0,0,2507,2,4,2,0,1,0,0,0,4,0,1,51,0,0,0,1,1,1,0,0,1,1
233,3,12,2,0,0,0,1,0,0,2141,1,3,3,0,1,0,0,0,1,0,1,35,0,0,1,1,2,1,0,0,1,1
234,1,18,2,0,0,0,1,0,0,866,0,2,4,0,0,1,0,1,2,1,0,25,0,0,1,1,1,1,0,0,1,1
235,3,4,4,0,0,0,1,0,0,1544,0,3,2,0,1,0,0,0,1,1,0,42,0,0,1,3,1,2,0,0,1,1
236,0,24,2,0,0,0,1,0,0,1823,0,0,4,0,1,0,0,0,2,0,0,30,1,0,1,1,3,2,0,0,0,1
237,1,6,2,1,0,0,0,0,0,14555,4,0,1,0,1,0,0,0,2,0,0,23,0,0,1,1,0,1,1,0,0,1
238,1,21,2,0,0,0,0,0,1,2767,1,4,4,1,0,0,0,0,2,0,0,61,1,1,0,2,1,1,0,0,0,1
239,3,12,4,0,0,0,1,0,0,1291,0,2,4,0,0,0,0,0,2,0,0,35,0,0,1,2,2,1,0,0,1,1
240,0,30,2,0,0,0,1,0,0,2522,0,4,1,0,1,0,0,1,3,0,0,39,0,0,1,1,2,2,0,0,1,1
241,0,24,2,1,0,0,0,0,0,915,4,4,4,0,0,0,0,0,2,0,0,29,1,0,1,1,2,1,0,0,0,1
242,3,6,2,0,0,0,1,0,0,1595,0,3,3,0,1,0,0,0,2,0,0,51,0,0,1,1,2,2,0,0,1,1
243,0,48,0,0,1,0,0,0,0,4605,0,4,3,0,1,0,0,0,4,0,1,24,0,0,0,2,2,2,0,0,0,1
244,3,12,4,0,0,0,0,0,1,1185,0,2,3,0,0,0,0,0,2,1,0,27,0,0,1,2,2,1,0,0,1,1
245,3,12,1,0,0,0,0,0,0,3447,2,2,4,0,0,0,0,0,3,1,0,35,0,0,1,1,1,2,0,0,1,1
246,3,24,2,0,0,0,0,0,1,1258,0,3,4,0,1,0,0,0,1,1,0,25,0,0,1,1,2,1,1,0,1,1
247,3,12,4,0,0,0,1,0,0,717,0,4,4,0,1,0,0,0,4,1,0,52,0,0,1,3,2,1,0,0,1,1
248,3,6,0,1,0,0,0,0,0,1204,1,2,4,0,1,0,0,0,1,0,1,35,1,1,0,1,2,1,0,1,1,1
249,2,24,2,0,0,1,0,0,0,1925,0,2,2,0,1,0,0,0,2,1,0,26,0,0,1,1,2,1,0,0,1,1
250,3,18,2,0,0,0,1,0,0,433,0,0,3,0,0,0,1,0,4,1,0,22,0,1,0,1,2,1,0,0,0,1
251,0,6,4,1,0,0,0,0,0,666,3,3,3,0,0,0,0,0,4,1,0,39,0,0,1,2,1,1,1,0,1,1
253,1,30,2,1,0,0,0,0,0,2150,0,2,4,0,0,0,0,1,2,0,1,24,1,0,1,1,2,1,0,0,0,1
